Random Article,www.article.com,random description
dasfasfa,afadfdf,sadfasdfadf
whatever,url ,desc
asd,asd,asd
name,sdf,des
article,time.com,adsfsdfasdfadfasfaasdfasdfasdfasdfsdfasfsdfsad
asdfadf,asdfasdf,asdfasdfasdfasdfasdfasdfasgasdgasgsadgasd
asdfas,www.time.com,asdfasdagssgdsafdfasdfasdgasfgasfgahafafgasfga
asdf,www.time.com,eat3wrtegsfsdggsregsrgdsgdrg
adsf,www.time.com,354324236tjdfsgibsdfihuvsdfdfsbsdf
asdf,www.time.come,ew
asdf,www.time.com,ew
adsf,www.time.com,dfsa
asdf,www.time.com,we
article,www.time.com2,A FULL description with lots iof works
article,www.time.co,A FULL description with lots iof works
article,www.time,A FULL description with lots iof works
sa,http://www.time.com,esdf
sa,www.time.com1',esdf
sa,www.tim,esdf
sdf`df,www.boston.com,df
sdf`df,www.boston.com/html,df
sdf`df,www.boston.com/index.html,df
sdf`df,marine.net,df
asd,www.time.com/whatever.html,dfsdfdsfsdfgdfsgfsdgfdsgfsdg
